Predictions (y,pred,y-pred) by the model of dimension:     1
    0.7451208676E+02    0.7423557400E+02    0.2765127626E+00
    0.8219213345E+02    0.7649605270E+02    0.5696080750E+01
    0.9923806785E+02    0.1155100703E+03   -0.1627200243E+02
    0.1193451659E+03    0.1342768470E+03   -0.1493168101E+02
    0.1356927131E+03    0.1525737388E+03   -0.1688102567E+02
    0.1672786173E+03    0.1878236143E+03   -0.2054499707E+02
    0.2253661327E+03    0.2213835881E+03    0.3982544542E+01
    0.2698899312E+03    0.2533664039E+03    0.1652352729E+02
    0.2781444213E+03    0.2838749444E+03   -0.5730523068E+01
    0.2994904688E+03    0.2986060896E+03    0.8843792438E+00
    0.3348078087E+03    0.3130033302E+03    0.2180447849E+02
    0.3536124748E+03    0.3408378648E+03    0.1277460993E+02
    0.1815617150E+03    0.1370544386E+03    0.4450727640E+02
    0.1851328402E+03    0.1672783959E+03    0.1785444435E+02
    0.1879236927E+03    0.1818282936E+03    0.6095399117E+01
    0.1904213831E+03    0.1960260304E+03   -0.5604647244E+01
    0.2062694130E+03    0.2234254723E+03   -0.1715605931E+02
    0.2324792831E+03    0.2495874637E+03   -0.1710818058E+02
    0.2580894811E+03    0.2746086016E+03   -0.1651912056E+02
    0.2927787662E+03    0.2985738317E+03   -0.5795065549E+01
    0.3243674594E+03    0.3101843287E+03    0.1418313075E+02
    0.3451406716E+03    0.3215583940E+03    0.2358227758E+02
    0.3548500077E+03    0.3436293604E+03    0.1122064725E+02
    0.8919480068E+02    0.7362383410E+02    0.1557096658E+02
    0.1207847205E+03    0.1160646430E+03    0.4720077493E+01
    0.1243448504E+03    0.1361238664E+03   -0.1177901596E+02
    0.1408027874E+03    0.1554652958E+03   -0.1466250839E+02
    0.1693828405E+03    0.1921455089E+03   -0.2276266838E+02
    0.2053585443E+03    0.2263806718E+03   -0.2102212753E+02
    0.2357175677E+03    0.2584094361E+03   -0.2269186846E+02
    0.2786727984E+03    0.2884397700E+03   -0.9766971666E+01
    0.3075347098E+03    0.3027633451E+03    0.4771364731E+01
    0.3365297414E+03    0.3166538334E+03    0.1987590801E+02
    0.3525696231E+03    0.3432119362E+03    0.9357686904E+01
Prediction RMSE and MaxAE:        14.7590479592       44.5072763963
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.2935234994E+03    0.2932880708E+03    0.2354286340E+00
    0.1587309654E+03    0.1660414423E+03   -0.7310476832E+01
    0.1746566799E+03    0.1812561598E+03   -0.6599479877E+01
    0.2635678493E+03    0.2561054619E+03    0.7462387389E+01
    0.2592711134E+03    0.2477339146E+03    0.1153719880E+02
    0.1533371356E+03    0.1656619059E+03   -0.1232477024E+02
    0.1737380718E+03    0.1810728894E+03   -0.7334817523E+01
    0.1354613601E+03    0.1369344733E+03   -0.1473113219E+01
    0.1415692716E+03    0.1430041766E+03   -0.1434904965E+01
    0.1215912466E+03    0.1305075472E+03   -0.8916300624E+01
    0.1096500264E+03    0.1083500275E+03    0.1299998887E+01
    0.1139947988E+03    0.1061610263E+03    0.7833772549E+01
    0.3022450560E+03    0.3135154765E+03   -0.1127042050E+02
    0.3443617784E+03    0.3561754392E+03   -0.1181366084E+02
    0.1198075480E+03    0.1099415364E+03    0.9866011524E+01
    0.1135857840E+03    0.1058243621E+03    0.7761421887E+01
    0.2788580290E+03    0.2567890008E+03    0.2206902811E+02
    0.3189353197E+03    0.2994805200E+03    0.1945479973E+02
    0.3054724589E+03    0.2963533822E+03    0.9119076704E+01
    0.1557885917E+03    0.1785587821E+03   -0.2277019041E+02
    0.1177067906E+03    0.9627232394E+02    0.2143446668E+02
    0.1777489072E+03    0.1982026598E+03   -0.2045375257E+02
    0.1784743125E+03    0.1857301573E+03   -0.7255844747E+01
    0.1956337281E+03    0.2025017696E+03   -0.6868041519E+01
    0.2605553334E+03    0.2721544379E+03   -0.1159910447E+02
    0.2590247442E+03    0.2645632840E+03   -0.5538539875E+01
    0.1618420223E+03    0.1906095292E+03   -0.2876750681E+02
    0.1079419546E+03    0.1088782348E+03   -0.9362802058E+00
    0.1750833160E+03    0.2098311752E+03   -0.3474785916E+02
    0.1299731940E+03    0.1603269299E+03   -0.3035373583E+02
    0.1169255214E+03    0.1087828875E+03    0.8142633913E+01
    0.1562825046E+03    0.1713058334E+03   -0.1502332877E+02
    0.1770777058E+03    0.1967731884E+03   -0.1969548259E+02
    0.1900791570E+03    0.2134273203E+03   -0.2334816335E+02
    0.1509485565E+03    0.1685925122E+03   -0.1764395574E+02
    0.1653278390E+03    0.1764073040E+03   -0.1107946493E+02
    0.1854096194E+03    0.1832523317E+03    0.2157287745E+01
    0.1640343275E+03    0.1642207478E+03   -0.1864202999E+00
    0.1464641946E+03    0.1446673009E+03    0.1796893727E+01
    0.1858012828E+03    0.1671943565E+03    0.1860692633E+02
    0.1653253369E+03    0.1704098429E+03   -0.5084505999E+01
    0.1777252035E+03    0.1708745130E+03    0.6850690540E+01
    0.3048441671E+03    0.3034557431E+03    0.1388424088E+01
    0.3431197118E+03    0.3442149627E+03   -0.1095250916E+01
    0.1196200687E+03    0.1082340252E+03    0.1138604348E+02
    0.9846246946E+02    0.8435834906E+02    0.1410412040E+02
    0.1234999985E+03    0.1110511771E+03    0.1244882143E+02
    0.2754221649E+03    0.2587681317E+03    0.1665403312E+02
    0.1012461757E+03    0.8301099441E+02    0.1823518124E+02
    0.3280589644E+03    0.3055265559E+03    0.2253240845E+02
    0.1252586322E+03    0.1204067801E+03    0.4851852152E+01
    0.1336360451E+03    0.1177141993E+03    0.1592184577E+02
    0.2730061052E+03    0.2611459312E+03    0.1186017401E+02
    0.3342069804E+03    0.3062396935E+03    0.2796728695E+02
    0.2925690386E+03    0.2832570498E+03    0.9311988817E+01
    0.2499290681E+03    0.2468462556E+03    0.3082812588E+01
    0.2494959393E+03    0.2393490727E+03    0.1014686659E+02
    0.1635212792E+03    0.1262146839E+03    0.3730659530E+02
    0.3044292394E+03    0.3060119116E+03   -0.1582672225E+01
    0.3466922574E+03    0.3420248718E+03    0.4667385618E+01
    0.7539411855E+02    0.8007495306E+02   -0.4680834511E+01
    0.8308542094E+02    0.1063435393E+03   -0.2325811841E+02
    0.1161810959E+03    0.1195238392E+03   -0.3342743231E+01
    0.1374857342E+03    0.1327391136E+03    0.4746620696E+01
    0.1810345920E+03    0.1592869862E+03    0.2174760579E+02
    0.2137989748E+03    0.1860112048E+03    0.2778776995E+02
    0.2362153392E+03    0.2129347343E+03    0.2328060493E+02
    0.2531818108E+03    0.2400796164E+03    0.1310219437E+02
    0.2540849331E+03    0.2537417357E+03    0.3431973766E+00
    0.2565445535E+03    0.2674671121E+03   -0.1092255864E+02
    0.2716754675E+03    0.2951178289E+03   -0.2344236136E+02
    0.1656333067E+03    0.1465006713E+03    0.1913263539E+02
    0.1614262859E+03    0.1655763676E+03   -0.4150081750E+01
    0.1638021596E+03    0.1749535268E+03   -0.1115136727E+02
    0.1557274398E+03    0.1842274324E+03   -0.2849999262E+02
    0.1765848111E+03    0.2024763901E+03   -0.2589157897E+02
    0.2133581471E+03    0.2203439902E+03   -0.6985843121E+01
    0.2477361032E+03    0.2378494266E+03    0.9886676590E+01
    0.2563639819E+03    0.2550105327E+03    0.1353449277E+01
    0.2589913668E+03    0.2634672056E+03   -0.4475838813E+01
    0.2636269676E+03    0.2718439541E+03   -0.8216986512E+01
    0.2787418701E+03    0.2883653049E+03   -0.9623434826E+01
    0.7419914298E+02    0.8431689232E+02   -0.1011774934E+02
    0.1199555727E+03    0.1093034685E+03    0.1065210419E+02
    0.1275768211E+03    0.1219028269E+03    0.5673994147E+01
    0.1365911272E+03    0.1345724002E+03    0.2018726950E+01
    0.1664174620E+03    0.1601207275E+03    0.6296734439E+01
    0.1835905845E+03    0.1859455751E+03   -0.2354990638E+01
    0.2269835653E+03    0.2120441488E+03    0.1493941658E+02
    0.2427378609E+03    0.2384137321E+03    0.4324128726E+01
    0.2489758592E+03    0.2516993242E+03   -0.2723464978E+01
    0.2556213033E+03    0.2650516839E+03   -0.9430380546E+01
    0.2752750396E+03    0.2919554343E+03   -0.1668039469E+02
    0.3579410584E+03    0.3749202139E+03   -0.1697915552E+02
    0.3560854796E+03    0.3678658918E+03   -0.1178041218E+02
    0.3559526572E+03    0.3642983580E+03   -0.8345700810E+01
    0.3545054002E+03    0.3607033477E+03   -0.6197947469E+01
