Predictions (y,pred,y-pred) by the model of dimension:     1
    0.4565628182E+00    0.4463765072E+00    0.1018631095E-01
    0.2267002756E+00    0.1892509693E+00    0.3744930631E-01
    0.2092739035E+00    0.1946524830E+00    0.1462142047E-01
    0.4412176146E+00    0.3908494354E+00    0.5036817916E-01
    0.4373163477E+00    0.4091425692E+00    0.2817377844E-01
    0.4371113264E+00    0.4202979187E+00    0.1681340766E-01
    0.2680617680E+00    0.3071032013E+00   -0.3904143330E-01
    0.2364462509E+00    0.1924744987E+00    0.4397175219E-01
    0.2877592344E+00    0.3191452171E+00   -0.3138598269E-01
    0.3052002036E+00    0.2990076339E+00    0.6192569692E-02
    0.3162345360E+00    0.3106424730E+00    0.5592063011E-02
    0.3810698261E+00    0.3993253762E+00   -0.1825555009E-01
    0.3893930302E+00    0.3964998322E+00   -0.7106801967E-02
    0.2746515510E+00    0.3247719776E+00   -0.5012042658E-01
    0.2119213688E+00    0.2143476250E+00   -0.2426256162E-02
    0.2796253592E+00    0.3340153244E+00   -0.5438996520E-01
    0.2320546000E+00    0.2862803449E+00   -0.5422574498E-01
    0.2307039824E+00    0.2133283711E+00    0.1737561128E-01
    0.2694453323E+00    0.2930344337E+00   -0.2358910140E-01
    0.3020090589E+00    0.3171469711E+00   -0.1513791218E-01
    0.3046928854E+00    0.3260373271E+00   -0.2134444165E-01
    0.2681246117E+00    0.2792025985E+00   -0.1107798680E-01
    0.2821058033E+00    0.2849957514E+00   -0.2889948136E-02
    0.3155324828E+00    0.3240907418E+00   -0.8558259081E-02
    0.3001533759E+00    0.2968465828E+00    0.3306793141E-02
    0.2820478834E+00    0.2678537895E+00    0.1419409387E-01
    0.3337535518E+00    0.2966334468E+00    0.3712010495E-01
    0.3033097908E+00    0.2907672442E+00    0.1254254654E-01
    0.3195628020E+00    0.2900550697E+00    0.2950773234E-01
    0.4433412280E+00    0.4337769590E+00    0.9564268949E-02
    0.4489842999E+00    0.4465356039E+00    0.2448696003E-02
    0.2294035237E+00    0.2052737956E+00    0.2412972805E-01
    0.1983230862E+00    0.1699273260E+00    0.2839576020E-01
    0.2315906063E+00    0.2103331683E+00    0.2125743803E-01
    0.4269733901E+00    0.3977931662E+00    0.2918022385E-01
    0.2011678056E+00    0.1730100433E+00    0.2815776231E-01
    0.4469048804E+00    0.4154990776E+00    0.3140580280E-01
    0.2339656649E+00    0.1936635295E+00    0.4030213533E-01
    0.2431243250E+00    0.1980248964E+00    0.4509942859E-01
    0.4234910986E+00    0.3869644816E+00    0.3652661705E-01
    0.4522062284E+00    0.4069331137E+00    0.4527311475E-01
    0.4210826770E+00    0.4019078195E+00    0.1917485745E-01
    0.3691071406E+00    0.3660941545E+00    0.3012986133E-02
    0.3793562733E+00    0.3618461814E+00    0.1751009190E-01
    0.2843223449E+00    0.2275027073E+00    0.5681963761E-01
    0.4463194501E+00    0.4289926077E+00    0.1732684249E-01
    0.4555457409E+00    0.4415580503E+00    0.1398769060E-01
