,formula,C_11,C_12,C_13,C_14,C_15,C_16,C_21,C_22,C_23,C_24,C_25,C_26,C_31,C_32,C_33,C_34,C_35,C_36,C_41,C_42,C_43,C_44,C_45,C_46,C_51,C_52,C_53,C_54,C_55,C_56,C_61,C_62,C_63,C_64,C_65,C_66,K,G,E,v
63,Nb15V45,242.3071,132.0086,136.82080000000002,-7.361400000000001,-0.21869999999999998,0.874,132.1294,243.74,139.8219,3.0686,0.5202,-0.5442,134.6586,138.1427,243.2316,4.495900000000001,0.9882,-0.3707,-7.9139,2.5377,6.6825,13.0739,-0.1984,1.1643000000000001,-0.16160000000000002,0.7105,-0.0785,-0.2777,11.3202,8.9907,1.4011,-0.7455,0.22679999999999997,1.0092,9.305200000000001,12.8686,171.84236666666666,23.375868575062583,67.0856969020645,0.43493484930077925
64,Nb12V48,244.02489999999997,133.8752,142.0661,-1.1375,0.4755,-0.5275000000000001,133.0913,246.66950000000003,138.8651,1.9326,-0.5868,0.0318,139.8213,138.77249999999998,246.3765,1.1557,0.32,0.2831,0.41609999999999997,1.7826,0.25,16.2242,0.7187,0.8177,0.6006,-0.647,-0.1695,0.5242,11.1192,-0.8897,-1.101,0.2933,0.5724,1.0746,0.4579,8.4771,174.0759666666667,22.990033631924128,66.06186027971543,0.43674997038676466
65,Nb6V54,248.9871,128.8357,135.9104,-0.024399999999999998,-0.5877,0.0064,141.3711,245.483,150.0411,0.0041,2.1955999999999998,0.0019,128.4439,153.10229999999999,233.59229999999997,-0.01,-1.1824,-0.0070999999999999995,3.2131,1.1788,4.360799999999999,13.640799999999999,-0.1681,0.9974999999999999,5.8698,-2.0149,3.6302999999999996,-0.007299999999999999,20.9998,0.0024000000000000002,0.4303,-0.5222,-0.0295,0.6685,0.38839999999999997,7.2324,173.07075555555556,24.501840707607887,70.19308168812438,0.43240425333287796
66,V6Ta54,270.26840000000004,157.0897,164.5572,-0.0393,0.43739999999999996,-0.052700000000000004,156.8533,275.07579999999996,155.967,0.017499999999999998,-0.5205,0.0174,165.4478,155.31199999999998,269.9316,-0.0056,0.6143,0.0012000000000000001,0.010100000000000001,-0.0068000000000000005,0.0201,59.084500000000006,-0.0115,-0.1387,0.8459,-0.17629999999999998,0.9561,-0.0002,59.9851,-0.0070999999999999995,-0.0191,0.0076,-0.0332,0.1113,0.007299999999999999,60.2678,196.7226222222222,58.35275562203138,159.3068290320847,0.3650326135749585
67,V12Ta48,265.2365,154.2714,158.17419999999998,-3.3354,0.11180000000000001,0.15589999999999998,152.61880000000002,268.15610000000004,157.7337,-0.3029,1.0956,-0.236,159.3292,156.75619999999998,264.4565,-1.3371,0.0859,0.2045,-2.0305,0.4285,-1.046,54.075900000000004,0.35609999999999997,0.1946,0.3121,0.6423,-0.3694,0.3632,52.5472,2.3188,0.1829,-0.0393,0.11339999999999999,0.2129,2.5992,51.617200000000004,193.13418888888887,53.484965779223124,146.89494512933965,0.3732358522551652
68,V15Ta45,263.4744,153.44459999999998,155.1172,2.936,-1.1832,0.0906,152.3203,262.29789999999997,153.5683,1.3112,2.5411,0.2683,156.8106,151.1273,266.4504,-0.252,-0.2998,1.7027999999999999,1.6210999999999998,0.7886,-0.8210000000000001,48.1875,-0.9874,0.059899999999999995,-0.369,0.9632,-0.7196,-0.33849999999999997,46.3078,-3.478,-0.4523,0.0654,0.9640000000000001,0.268,-4.5176,47.8384,190.7203222222222,50.340608118882,138.8089548872706,0.3786976367018245
69,V18Ta42,261.9111,150.3141,152.8877,0.7564,3.3135,-0.0598,149.8452,256.9069,153.3115,1.0745,-6.6143,2.0347999999999997,154.7747,150.411,256.5606,-0.45039999999999997,2.9461,-1.6561,1.1821,1.1176,0.22149999999999997,46.0592,2.8768000000000002,0.6696,1.4367,-5.3088,3.2763,1.8214,39.718599999999995,1.9071000000000002,0.8627,0.9228999999999999,-2.0431,1.0359,0.549,42.3536,187.60057777777777,46.61720363813227,129.15373031108606,0.3852582333514318
70,V24Ta36,255.5605,145.7854,151.63920000000002,-1.1677,-0.35750000000000004,-0.3268,146.9832,260.1487,148.4442,0.1736,1.8198,0.47000000000000003,150.8347,145.5609,260.2736,0.21600000000000003,0.40650000000000003,1.0095,-1.2099,0.6647000000000001,1.0678,39.9204,0.2355,-0.2017,-1.1675,1.1961,0.5279,-0.1516,36.5207,-0.5465,-1.0474,-0.1272,0.5208999999999999,0.3269,0.6948000000000001,39.2282,185.30226666666667,44.46999057652921,123.52827696931435,0.38889479588186876
71,V30Ta30,252.5766,145.631,146.18789999999998,-0.5884,4.8868,-1.5712,144.3931,250.6637,146.1775,0.9000999999999999,-4.4284,0.0991,146.005,141.91649999999998,256.9835,1.2425000000000002,1.1389,-0.48339999999999994,-2.9824,2.0176,1.6693000000000002,34.218900000000005,1.5438,1.1382999999999999,2.8464,-4.1564,2.7974,0.4051,28.667,4.2905,-1.3287,1.0826,-1.0781,1.8753,3.8695999999999997,33.7332,181.80184444444444,39.57606325222878,110.69580997746029,0.3985197222872629
72,Ta24V36,249.85250000000002,145.4564,146.9828,0.1691,3.4279,0.5433,145.74349999999998,246.2357,145.997,-0.0301,-1.9456,-1.5222,145.4425,142.1933,254.56060000000002,1.6814,3.2253,1.7559999999999998,0.4689,3.1808,0.0878,29.9164,0.23929999999999998,0.5233,4.0499,-1.5737999999999999,2.4666,0.2883,24.0106,-4.1615,0.45549999999999996,-0.8112999999999999,0.46740000000000004,0.736,-5.9525,24.314,180.83568888888894,34.52159349639968,97.36886423855451,0.41026028026066164
73,Ta18V42,253.6741,136.07639999999998,141.3253,-0.6268,0.7396,0.11739999999999999,139.8725,255.0419,146.53119999999998,0.5603,-0.5144,0.8121,139.853,140.63389999999998,251.6763,-0.2758,-0.8349,0.6952,-4.0280000000000005,0.3015,-2.3442,26.190800000000003,-0.341,-0.051000000000000004,2.1823,0.7933,0.9769,-0.4885,22.659100000000002,-0.10729999999999999,-1.372,-0.7738,-1.7764,-0.3485,-1.3774,20.718899999999998,178.69534444444446,33.32059992753019,94.11222419981783,0.412222835190616
74,Ta15V45,255.78820000000002,137.894,141.3793,8.2285,0.5494,1.0709,139.11769999999999,253.94140000000002,144.0528,-4.958,0.055200000000000006,0.1471,140.5982,141.0831,252.7929,-1.4196,1.7521999999999998,-0.1898,2.7959,-2.9832,-2.91,15.5231,-0.19790000000000002,0.562,0.2104,1.3919000000000001,0.5115000000000001,0.6597000000000001,15.638200000000001,-3.1678,0.39940000000000003,-0.1555,0.2904,1.1403,-4.9178,15.928700000000001,178.79718888888888,27.05301993944908,77.26231874437974,0.4279795549131057
75,Ta12V48,256.87,138.59,145.99970000000002,-2.2232,0.5748,-0.1535,139.3618,253.1596,141.952,1.3117,0.8583999999999999,-0.43929999999999997,143.0443,142.1609,253.9735,1.4059,-1.0873,-1.4323000000000001,-1.3129,2.9835000000000003,1.8939,22.726599999999998,0.5284,0.246,0.12279999999999999,0.8542,-1.2351,0.9596,12.1753,1.5071999999999999,-0.5381,-0.3782,0.43579999999999997,0.5548,3.7338999999999998,3.0108,179.67627777777776,24.199267504184437,69.47861573795016,0.43555204152225296
76,Ta6V54,254.2451,140.2357,141.6282,-0.0019,-1.41,0.0023,140.5183,246.5516,149.9667,-0.0027,1.3106,-0.0012000000000000001,139.8372,152.62709999999998,242.6356,0.0013,-0.2615,0.0029000000000000002,-0.3386,0.2197,0.0776,16.484,-0.21030000000000001,-0.5504,-1.8572,0.5229,-0.1403,-0.0,22.1853,0.0014,-0.1617,-0.1889,0.1238,-0.09,-0.1459,8.6339,178.56594444444443,26.04492204374651,74.51208675831471,0.43045324983426786
77,W6Nb54,256.6382,134.0009,159.20250000000001,0.0002,-0.0683,-0.00030000000000000003,133.9367,262.2789,160.4732,-0.002,-0.10540000000000001,0.0013,156.5263,156.1682,250.93609999999998,0.0024000000000000002,-0.21749999999999997,-0.0018,0.1299,0.1234,0.06760000000000001,16.0099,0.0237,-0.2624,-0.8101,1.6741,-1.6351,0.0026,12.4866,-0.0036,-0.1365,-0.1214,-0.0997,-0.24089999999999998,0.1082,27.8094,186.35626666666667,28.809182703797912,82.19213345488505,0.42649193314410944
78,W12Nb48,282.7437,130.7095,171.0576,0.6577,0.1329,0.1429,131.2396,285.9258,159.4941,-0.1826,-0.21309999999999998,0.07239999999999999,167.4888,157.1961,279.3005,-0.6744,-0.0043,0.028000000000000004,0.5992,0.191,-0.1941,30.4891,-0.1001,0.08259999999999999,0.038900000000000004,-0.21669999999999998,0.1411,-0.2692,8.4095,0.1573,0.058399999999999994,-0.0925,0.0836,0.056799999999999996,-0.039400000000000004,29.2854,196.7213777777778,35.04358802803675,99.23806784930665,0.41592333196462183
79,W15Nb45,299.8589,134.2878,170.5984,1.2673,-0.40659999999999996,0.1072,136.91910000000001,297.9005,157.1369,-0.2016,0.1598,0.005,168.6291,153.4806,303.7421,0.2158,-0.0419,-0.3698,1.1257,-0.509,-0.0864,39.2795,0.0185,-0.1698,-0.1113,0.3028,-0.0127,0.0191,14.5835,-0.051000000000000004,0.2353,0.11040000000000001,-0.2152,-0.1738,-0.2485,33.484500000000004,202.83863333333338,42.564367136049995,119.34516594854003,0.4019375122749134
80,W18Nb42,316.8863,140.8038,171.5147,-3.6205,0.1775,-0.8859,146.3458,304.9456,154.1065,-1.4246,-0.2526,-0.5288,170.7643,148.9176,323.6581,-6.840000000000001,-0.22000000000000003,0.3992,-3.6826999999999996,-0.5372,-5.5549,42.8246,0.6258,-0.1673,0.2972,-0.3755,-0.3856,0.6134000000000001,25.4904,-5.8628,-0.6593,-0.1899,0.3834,-0.2537,-6.1018,35.6102,208.70444444444445,48.752847203810745,135.69271310042436,0.3916388568360166
81,W24Nb36,370.4714,149.52360000000002,163.321,-0.5114,-0.45099999999999996,0.21230000000000002,158.0503,316.30100000000004,154.0973,0.0219,-3.5162,0.0745,164.47660000000002,146.4984,353.6676,-0.3992,-0.8896000000000001,0.011899999999999999,-0.3399,0.0361,-0.3404,45.6528,0.1851,-3.1511,-0.8192999999999999,-3.3247999999999998,-1.137,0.018099999999999998,44.3896,-1.0816000000000001,0.2045,0.0708,0.0663,-3.2802999999999995,-1.1171,44.0495,219.3693111111111,60.92121334677102,167.2786172726867,0.3729094356715803
82,W30Nb30,418.57640000000004,152.60909999999998,159.4272,-0.7618,0.29510000000000003,2.6294,162.4605,344.5086,165.3393,-0.5871000000000001,0.1774,2.3724,161.422,157.2452,408.367,-0.9922000000000001,0.2083,2.0937,-0.5488000000000001,-0.2024,-0.7421,64.51599999999999,4.1437,0.41879999999999995,0.2125,0.10800000000000001,0.2359,4.1284,76.54650000000001,-1.6573,2.3302,1.9006,1.6271999999999998,0.4439,-1.8051,62.0369,236.24479999999997,84.02862800198493,225.36613267613515,0.3410080471075376
83,Nb24W36,450.79380000000003,165.92739999999998,162.9336,-0.0746,-0.2612,0.4704,177.3613,364.8261,179.5316,0.6258,-0.19770000000000001,0.6596,163.4101,168.424,446.6567,0.31520000000000004,-0.17070000000000002,0.48739999999999994,-0.2773,0.4032,0.1896,83.5861,0.7767999999999999,-0.3983,-0.44329999999999997,-0.3024,-0.27890000000000004,0.7929,91.8942,0.3351,0.522,0.6319,0.38130000000000003,-0.391,0.3337,90.8237,253.22908888888892,102.04798668826055,269.8899311855492,0.32236774062979606
84,Nb18W42,472.5595,178.7662,181.4348,-0.0093,-0.1326,-0.0259,190.24,379.38919999999996,184.6236,-0.0785,0.1302,0.20990000000000003,179.6386,171.4624,480.61530000000005,-0.14830000000000002,0.16799999999999998,-0.2318,-0.028699999999999996,-0.0655,-0.10169999999999998,82.0257,0.0258,0.06870000000000001,-0.10229999999999999,0.20190000000000002,0.21400000000000002,-0.0174,94.4756,0.2044,-0.0737,0.0423,-0.176,-0.0053,0.23620000000000002,93.5376,269.1348,104.74245595484174,278.1444213263799,0.3277539598952025
85,Nb15W45,489.64610000000005,183.002,186.8793,0.2944,-0.0905,-0.1103,193.4341,409.08910000000003,178.1596,0.13369999999999999,-0.6428,-0.3106,185.6759,166.5443,494.10339999999997,0.1668,-0.12079999999999999,-0.016300000000000002,0.0895,0.21070000000000003,0.10629999999999999,91.5569,-0.21059999999999998,-0.5035000000000001,0.002,-0.5406,-0.011300000000000001,-0.1804,102.1789,0.49189999999999995,-0.0008,-0.2572,0.06770000000000001,-0.47830000000000006,0.4563,100.8886,276.5467111111111,113.48584805784552,299.49046884046953,0.3195057972682838
86,Nb12W48,510.69040000000007,181.2064,189.7918,0.23220000000000002,0.058899999999999994,0.0045,191.4835,439.66949999999997,186.1012,-0.015099999999999999,-0.1052,-0.08249999999999999,189.6898,175.7529,512.1063,-0.1758,0.0725,0.034699999999999995,0.18,0.0234,-0.0628,116.7891,0.0047,-0.184,0.063,-0.18480000000000002,0.0234,-0.0207,113.4222,0.034,0.0053,-0.0955,0.0366,-0.1914,0.0177,114.9884,286.2961111111111,128.2697764583052,334.8078086778824,0.30509235270521257
87,Nb6W54,529.9334,188.799,185.2549,-0.0001,-0.0215,-0.0005,198.5866,457.30510000000004,202.0838,-0.0,-0.1058,-0.00030000000000000003,185.46179999999998,192.3838,523.6015,-0.0002,-0.0469,-0.0001,-0.0132,-0.0057,-0.0177,132.2203,0.0004,-0.1199,0.0432,-0.057999999999999996,0.0268,0.0002,117.2616,0.0,-0.0256,-0.0253,-0.022,-0.1206,0.0015,122.75640000000001,295.9017111111111,135.918255672886,353.61247477454896,0.3008277402617162
