Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1889144889E+03    0.1885468978E+03    0.3675910726E+00
    0.1905193889E+03    0.1898768076E+03    0.6425812604E+00
    0.1899346000E+03    0.1905195890E+03   -0.5849889691E+00
    0.1915395111E+03    0.1911476871E+03    0.3918240057E+00
    0.1921652444E+03    0.1923601270E+03   -0.1948825619E+00
    0.1813102889E+03    0.1728499099E+03    0.8460378967E+01
    0.1730694778E+03    0.1728440388E+03    0.2254389826E+00
    0.1717623333E+03    0.1728463351E+03   -0.1084001777E+01
    0.1704806556E+03    0.1728525605E+03   -0.2371904919E+01
    0.1700829333E+03    0.1728782618E+03   -0.2795328452E+01
    0.1692373444E+03    0.1729243347E+03   -0.3686990269E+01
    0.1700707556E+03    0.1729944475E+03   -0.2923691948E+01
    0.1708686111E+03    0.1730928310E+03   -0.2224219910E+01
    0.1718423667E+03    0.1731541258E+03   -0.1311759131E+01
    0.1740759667E+03    0.1732243843E+03    0.8515823419E+00
    0.1730707556E+03    0.1733948046E+03   -0.3240490724E+00
    0.1967226222E+03    0.1899394787E+03    0.6783143487E+01
    0.1931341889E+03    0.1890576785E+03    0.4076510437E+01
    0.1907203222E+03    0.1885674586E+03    0.2152863612E+01
    0.1876005778E+03    0.1880434854E+03   -0.4429076461E+00
    0.1853022667E+03    0.1868914914E+03   -0.1589224751E+01
    0.1818018444E+03    0.1855958146E+03   -0.3793970149E+01
    0.1808356889E+03    0.1841500371E+03   -0.3314348224E+01
    0.1786953444E+03    0.1825471317E+03   -0.3851787211E+01
    0.1787971889E+03    0.1816843721E+03   -0.2887183255E+01
    0.1796762778E+03    0.1807793743E+03   -0.1103096572E+01
    0.1785659444E+03    0.1788382409E+03   -0.2722964551E+00
    0.1863562667E+03    0.1865640093E+03   -0.2077425939E+00
    0.1967213778E+03    0.1994301733E+03   -0.2708795518E+01
    0.2028386333E+03    0.2059391126E+03   -0.3100479282E+01
    0.2087044444E+03    0.2124981685E+03   -0.3793724076E+01
    0.2193693111E+03    0.2257653017E+03   -0.6395990600E+01
    0.2362448000E+03    0.2392289743E+03   -0.2984174257E+01
    0.2532290889E+03    0.2528866771E+03    0.3424117721E+00
    0.2691348000E+03    0.2667359861E+03    0.2398813880E+01
    0.2765467111E+03    0.2737317575E+03    0.2814953613E+01
    0.2862961111E+03    0.2807745576E+03    0.5521553513E+01
    0.2959017111E+03    0.2950001243E+03    0.9015868059E+00
    0.2105255556E+03    0.2042084866E+03    0.6317068987E+01
    0.2194879000E+03    0.2166335290E+03    0.2854371017E+01
    0.2250481778E+03    0.2228097266E+03    0.2238451176E+01
    0.2306701222E+03    0.2289620163E+03    0.1708105932E+01
    0.2418327444E+03    0.2411957757E+03    0.6369687368E+00
    0.2531147778E+03    0.2533365833E+03   -0.2218054944E+00
    0.2637099889E+03    0.2653861657E+03   -0.1676176821E+01
    0.2798409111E+03    0.2773462022E+03    0.2494708884E+01
    0.2875471778E+03    0.2832931529E+03    0.4254024833E+01
    0.2945108667E+03    0.2892183262E+03    0.5292540451E+01
    0.3012605778E+03    0.3010041269E+03    0.2564508925E+00
    0.1966388111E+03    0.1916090505E+03    0.5029760648E+01
    0.2049353111E+03    0.2041086551E+03    0.8266559715E+00
    0.2096941111E+03    0.2104638228E+03   -0.7697117285E+00
    0.2163081222E+03    0.2168879350E+03   -0.5798127891E+00
