Predictions (y,pred,y-pred) by the model of dimension:     1
    0.4487846667E+02    0.5019037079E+02   -0.5311904119E+01
    0.3941803333E+02    0.3459584421E+02    0.4822189120E+01
    0.4091123333E+02    0.3906426144E+02    0.1846971897E+01
    0.1155721667E+03    0.1061325062E+03    0.9439660498E+01
    0.1317270667E+03    0.1304692396E+03    0.1257827093E+01
    0.4379320000E+02    0.3016614178E+02    0.1362705822E+02
    0.4094110000E+02    0.3520369174E+02    0.5737408257E+01
    0.1067330000E+03    0.8948614865E+02    0.1724685135E+02
    0.1236949333E+03    0.1188333737E+03    0.4861559680E+01
    0.1185663333E+03    0.1143103987E+03    0.4255934647E+01
    0.5631520000E+02    0.6597301327E+02   -0.9657813269E+01
    0.4281686667E+02    0.3095357469E+02    0.1186329198E+02
    0.6653600000E+02    0.7906645681E+02   -0.1253045681E+02
    0.6544593333E+02    0.6455273147E+02    0.8932018599E+00
    0.7081320000E+02    0.7860638107E+02   -0.7793181067E+01
    0.9909350000E+02    0.1070270109E+03   -0.7933510888E+01
    0.9879613333E+02    0.1025356645E+03   -0.3739531163E+01
    0.5754726667E+02    0.7048778584E+02   -0.1294051918E+02
    0.3968340000E+02    0.3552961553E+02    0.4153784467E+01
    0.6419260000E+02    0.8340636398E+02   -0.1921376398E+02
    0.4755836667E+02    0.5918603509E+02   -0.1162766843E+02
    0.4298803333E+02    0.3590272156E+02    0.7085311777E+01
    0.5702396667E+02    0.6762408177E+02   -0.1060011510E+02
    0.6448746667E+02    0.6980562101E+02   -0.5318154344E+01
    0.6892443333E+02    0.8334456511E+02   -0.1442013178E+02
    0.5462010000E+02    0.5804085493E+02   -0.3420754933E+01
    0.6024150000E+02    0.6709005886E+02   -0.6848558861E+01
    0.6916680000E+02    0.7593293388E+02   -0.6766133882E+01
    0.6074053333E+02    0.6057842544E+02    0.1621078905E+00
    0.5625880000E+02    0.4899971247E+02    0.7259087529E+01
    0.6976280000E+02    0.6454395127E+02    0.5218848735E+01
    0.6109540000E+02    0.6037920746E+02    0.7161925413E+00
    0.6641613333E+02    0.6444901085E+02    0.1967122485E+01
    0.1171394000E+03    0.1115827677E+03    0.5556632293E+01
    0.1298107667E+03    0.1356276758E+03   -0.5816909148E+01
    0.4263683333E+02    0.3930594152E+02    0.3330891813E+01
    0.3551316667E+02    0.2713482244E+02    0.8378344232E+01
    0.4331223333E+02    0.4360641505E+02   -0.2941817148E+00
    0.1050881333E+03    0.9517013631E+02    0.9917997024E+01
    0.3710063333E+02    0.2408975285E+02    0.1301088048E+02
    0.1270568667E+03    0.1234318505E+03    0.3625016128E+01
    0.4623996667E+02    0.3518509578E+02    0.1105487089E+02
    0.4979963333E+02    0.4013010810E+02    0.9669525232E+01
    0.1048403333E+03    0.9468441256E+02    0.1015592078E+02
    0.1283589667E+03    0.1236389982E+03    0.4719968439E+01
    0.1119227000E+03    0.1038496529E+03    0.8073047105E+01
    0.9410970000E+02    0.9186044815E+02    0.2249251851E+01
    0.9391083333E+02    0.8683943229E+02    0.7071401040E+01
    0.5990580000E+02    0.4581897959E+02    0.1408682041E+02
    0.1167444000E+03    0.1056146762E+03    0.1112972381E+02
    0.1322718667E+03    0.1306442704E+03    0.1627596275E+01
    0.1511233333E+02    0.1440407345E+02    0.7082598878E+00
    0.1506720000E+02    0.2297121882E+02   -0.7904018817E+01
    0.2607280000E+02    0.2728429464E+02   -0.1211494635E+01
    0.3288510000E+02    0.3161722049E+02    0.1267879512E+01
    0.5040940000E+02    0.4034317368E+02    0.1006622632E+02
    0.6252836667E+02    0.4915019401E+02    0.1337817266E+02
    0.6859230000E+02    0.5803941791E+02    0.1055288209E+02
    0.7457800000E+02    0.6701200320E+02    0.7565996799E+01
    0.7547360000E+02    0.7152992413E+02    0.3943675867E+01
    0.7601236667E+02    0.7606912951E+02   -0.5676284362E-01
    0.7978300000E+02    0.8521199885E+02   -0.5428998847E+01
    0.5943460000E+02    0.4427263972E+02    0.1516196028E+02
    0.5415630000E+02    0.5030509761E+02    0.3851202389E+01
    0.5238350000E+02    0.5328453785E+02   -0.9010378533E+00
    0.4609493333E+02    0.5623880655E+02   -0.1014387322E+02
    0.5043943333E+02    0.6206982858E+02   -0.1163039524E+02
    0.6211446667E+02    0.6779405156E+02   -0.5679584892E+01
    0.7535336667E+02    0.7340717911E+02    0.1946187555E+01
    0.7547280000E+02    0.7890471975E+02   -0.3431919753E+01
    0.7631323333E+02    0.8160868519E+02   -0.5295451852E+01
    0.7808313333E+02    0.8428197520E+02   -0.6198841869E+01
    0.8207633333E+02    0.8953402777E+02   -0.7457694439E+01
    0.1068950000E+02    0.7853915685E+01    0.2835584315E+01
    0.2761040000E+02    0.1735996313E+02    0.1025043687E+02
    0.2953980000E+02    0.2212464143E+02    0.7415158570E+01
    0.3218210000E+02    0.2689684050E+02    0.5285259499E+01
    0.4136713333E+02    0.3646307498E+02    0.4904058355E+01
    0.4472750000E+02    0.4605724813E+02   -0.1329748133E+01
    0.6125163333E+02    0.5567799354E+02    0.5573639791E+01
    0.6651516667E+02    0.6532399453E+02    0.1191172137E+01
    0.6935780000E+02    0.7015606748E+02   -0.7982674776E+00
    0.7244110000E+02    0.7499398202E+02   -0.2552882023E+01
    0.7973906667E+02    0.8468673252E+02   -0.4947665851E+01
    0.1244658000E+03    0.1288754665E+03   -0.4409666477E+01
    0.1227551333E+03    0.1252278284E+03   -0.2472695034E+01
    0.1222562000E+03    0.1233902093E+03   -0.1134009276E+01
    0.1211050000E+03    0.1215432347E+03   -0.4382347084E+00
