Predictions (y,pred,y-pred) by the model of dimension:     1
    0.6809255274E+02    0.6760924495E+02    0.4833077935E+00
    0.6904760257E+02    0.7074448913E+02   -0.1696886564E+01
    0.6988379938E+02    0.7422947172E+02   -0.4345672340E+01
    0.7595481374E+02    0.8213865606E+02   -0.6183842319E+01
    0.8630026423E+02    0.9113267921E+02   -0.4832414983E+01
    0.9652639442E+02    0.1010309499E+03   -0.4504555442E+01
    0.1104302259E+03    0.1116739410E+03   -0.1243715104E+01
    0.1236164255E+03    0.1172300660E+03    0.6386359489E+01
    0.1322700957E+03    0.1229209807E+03    0.9349114931E+01
    0.1360948904E+03    0.1346482688E+03    0.1446621656E+01
    0.3130959377E+02    0.3342792750E+02   -0.2118333727E+01
    0.4308292970E+02    0.4486272855E+02   -0.1779798847E+01
    0.4437180400E+02    0.5079374392E+02   -0.6421939918E+01
    0.5059350036E+02    0.5684380161E+02   -0.6250301251E+01
    0.6152011377E+02    0.6923777185E+02   -0.7717658088E+01
    0.7558678816E+02    0.8192846465E+02   -0.6341676490E+01
    0.8754089957E+02    0.9481500277E+02   -0.7274103205E+01
    0.1047380597E+03    0.1078101053E+03   -0.3072045566E+01
    0.1165991300E+03    0.1143244330E+03    0.2274697068E+01
    0.1287812479E+03    0.1208385664E+03    0.7942681468E+01
    0.1352458823E+03    0.1338358947E+03    0.1409987631E+01
Prediction RMSE and MaxAE:         5.5984607823       14.9465137834
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1119034582E+03    0.1067793321E+03    0.5124126099E+01
    0.5781486579E+02    0.5942441363E+02   -0.1609547831E+01
    0.6377679169E+02    0.6712731628E+02   -0.3350524587E+01
    0.9969179946E+02    0.9331123820E+02    0.6380561257E+01
    0.9817976135E+02    0.8976631912E+02    0.8413442226E+01
    0.5573694755E+02    0.5923007396E+02   -0.3493126408E+01
    0.6345732320E+02    0.6679874029E+02   -0.3341417092E+01
    0.4895849377E+02    0.4662000771E+02    0.2338486054E+01
    0.5114042588E+02    0.5049834082E+02    0.6420850594E+00
    0.4348442747E+02    0.4509455399E+02   -0.1610126513E+01
    0.3917125463E+02    0.3517865093E+02    0.3992603701E+01
    0.4077056391E+02    0.3516251455E+02    0.5608049364E+01
    0.1156620276E+03    0.1122505529E+03    0.3411474714E+01
    0.1322564577E+03    0.1303797918E+03    0.1876665911E+01
    0.4295367200E+02    0.3311398119E+02    0.9839690816E+01
    0.4050309916E+02    0.3467893223E+02    0.5824166930E+01
    0.1066234624E+03    0.9678471344E+02    0.9838748916E+01
    0.1218090654E+03    0.1164142803E+03    0.5394785046E+01
    0.1166603165E+03    0.1062915315E+03    0.1036878504E+02
    0.5656963783E+02    0.6251869908E+02   -0.5949061248E+01
    0.4232796680E+02    0.3477067457E+02    0.7557292230E+01
    0.6493284567E+02    0.6828968830E+02   -0.3356842627E+01
    0.6554370379E+02    0.6512173237E+02    0.4219714213E+00
    0.7208525840E+02    0.7124732626E+02    0.8379321435E+00
    0.9788397509E+02    0.9488759161E+02    0.2996383483E+01
    0.9754851806E+02    0.9218890483E+02    0.5359613231E+01
    0.5888624772E+02    0.6570273874E+02   -0.6816491015E+01
    0.3852234119E+02    0.3970559993E+02   -0.1183258741E+01
    0.6380085368E+02    0.7069344784E+02   -0.6892594165E+01
    0.4667560663E+02    0.5543518528E+02   -0.8759578658E+01
    0.4197241641E+02    0.4084496810E+02    0.1127448319E+01
    0.5677301169E+02    0.5686332526E+02   -0.9031356659E-01
    0.6496802097E+02    0.6790990219E+02   -0.2941881220E+01
    0.6979480419E+02    0.7316987999E+02   -0.3375075802E+01
    0.5481318806E+02    0.5759250794E+02   -0.2779319881E+01
    0.6029149555E+02    0.6010796668E+02    0.1835288632E+00
    0.6830351287E+02    0.6675733843E+02    0.1546174446E+01
    0.6014871550E+02    0.6016147689E+02   -0.1276138696E-01
    0.5341138887E+02    0.5520869665E+02   -0.1797307779E+01
    0.6882396517E+02    0.5924921812E+02    0.9574747051E+01
    0.6068008934E+02    0.6045909209E+02    0.2209972547E+00
    0.6555221939E+02    0.6005873577E+02    0.5493483619E+01
    0.1166313876E+03    0.1118824191E+03    0.4748968566E+01
    0.1314904999E+03    0.1291643806E+03    0.2326119302E+01
    0.4292238571E+02    0.3779969858E+02    0.5122687132E+01
    0.3499053213E+02    0.3173287297E+02    0.3257659168E+01
    0.4434460389E+02    0.3705667145E+02    0.7287932445E+01
    0.1048738256E+03    0.9697350216E+02    0.7900323395E+01
    0.3601177755E+02    0.2611877270E+02    0.9893004853E+01
    0.1256431161E+03    0.1170032341E+03    0.8639882090E+01
    0.4500912398E+02    0.3742063680E+02    0.7588487180E+01
    0.4815536762E+02    0.3876209538E+02    0.9393272241E+01
    0.1038482190E+03    0.9732968271E+02    0.6518536288E+01
    0.1281946021E+03    0.1158124270E+03    0.1238217516E+02
    0.1112114300E+03    0.1058723663E+03    0.5339063648E+01
    0.9355975646E+02    0.9339316097E+02    0.1665954910E+00
    0.9368174085E+02    0.9024879534E+02    0.3432945513E+01
    0.5967295456E+02    0.4801480485E+02    0.1165814971E+02
    0.1165733788E+03    0.1115287209E+03    0.5044657831E+01
    0.1331123282E+03    0.1280960799E+03    0.5016248320E+01
    0.2632643497E+02    0.3199174000E+02   -0.5665305032E+01
    0.2911030054E+02    0.3995366820E+02   -0.1084336766E+02
    0.4146923460E+02    0.4456444427E+02   -0.3095209677E+01
    0.4958492797E+02    0.4945842858E+02    0.1264993842E+00
    0.6671768541E+02    0.5978739507E+02    0.6930290340E+01
    0.7983276551E+02    0.7044699477E+02    0.9385770743E+01
    0.8885745041E+02    0.8109736970E+02    0.7760080714E+01
    0.9558693600E+02    0.9150557607E+02    0.4081359934E+01
    0.9586478718E+02    0.9656734044E+02   -0.7025532587E+00
    0.9672791808E+02    0.1015141077E+03   -0.4786189649E+01
    0.1025991163E+03    0.1110192726E+03   -0.8420156250E+01
    0.6056238656E+02    0.6372182800E+02   -0.3159441445E+01
    0.5877006947E+02    0.6541361782E+02   -0.6643548357E+01
    0.5965694308E+02    0.6684396780E+02   -0.7187024726E+01
    0.5640091467E+02    0.6863277210E+02   -0.1223185743E+02
    0.6447432788E+02    0.7319839441E+02   -0.8724066534E+01
    0.7910835546E+02    0.7894556751E+02    0.1627879514E+00
    0.9311991210E+02    0.8572424215E+02    0.7395669951E+01
